Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
218,4,0.9698,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['warga', 'kabupaten', 'lampung', 'utara', 'nyata', 'positif', 'papar', 'covid', 'number', 'karantina', 'komplek', 'islamic', 'center', 'kotabumi', 'plt', 'bupati', 'budi', 'utomo', 'ketua', 'tim', 'gugus', 'tugas', 'tanggulang', 'covid', 'number', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
219,6,0.9687,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['camana', 'nak', 'cari', 'rezeki', 'ada', 'kerja', 'kena', 'buang', 'kerja', 'dgan', 'ekonomi', 'ganggu', 'sebab', 'covid', 'number', 'repeated', 'nak', 'bash', 'kecam', 'pasal', 'isu', 'menteri', 'laa', 'artis', 'laa', 'kaum', 'laa']"
220,2,0.9374,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['presiden', 'langkah', 'serius', 'hadap', 'pandemi', 'covid', 'number', 'bom', 'orang', 'indonesia', 'diyerima', 'dunia', 'internasional']"
221,2,0.9416,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['nolak', 'jenazah', 'covid', 'number', 'nakes', 'takut', 'iya', 'jenazah', 'tolak', 'bumi', 'gapernah', 'nonton', 'sinetron', 'hidayah']"
222,1,0.8748,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['posko', 'siaga', 'covid', 'number', 'data', 'mudik']"
223,2,0.8905,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['rencana', 'libur', 'sabang', 'batall', 'howalaahh', 'covid', 'covid']"
224,1,0.9602,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['korban', 'allcaps', 'phk', 'allcaps', 'rumah', 'akibat', 'sebar', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'ayo', 'daftar', 'kartu', 'allcaps', 'pra', 'kerja', 'allcaps', 'mudah', 'koq']"
225,4,0.9562,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'cuci_tangan', 'cuci_tangan']"
226,7,0.7741,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['bencana', 'nasional', 'covid', 'number', 'warga', 'positif', 'corona', 'pemprov', 'allcaps', 'ntt', 'allcaps', 'koordinasi', 'kemenkes']"
227,2,0.9374,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['korut', 'klaim', 'bebas', 'virus', 'allcaps', 'covid', 'allcaps', 'number', 'negara', 'apit', 'kosel', 'china', 'episentrum']"
228,7,0.9635,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kapolrestabes', 'semarang', 'forkopimda', 'kota', 'semarang', 'himbauan', 'masyarakat', 'pakai', 'masker', 'jaga', 'bersih', 'rumah', 'putus', 'mata', 'rantai', 'sebar', 'virus', 'corona', 'covid', 'number', 'mata_rantai', 'mata_rantai', 'mata_rantai']"
229,2,0.8248,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['covid', 'number', 'nang', 'pojok']"
230,5,0.9124,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['tular', 'covid', 'number', 'mudik', 'jakarta', 'kota', 'diri', 'number', 'positif']"
231,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'politik', 'wabah', 'covid', 'allcaps', 'number', 'allcaps', 'peduli', 'rakyat', 'allcaps', 'repeated']"
232,4,0.9619,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['satu', 'lawan', 'sebar', 'virus', 'corona', 'covid', 'number', 'kabupaten', 'lingga', 'jaga', 'sehat', 'jauh', 'kerumun', 'cuci', 'tangan', 'pakai', 'sabun', 'repeated', 'infolingga', 'info', 'cuci_tangan', 'cuci_tangan']"
233,6,0.8749,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['tanggal', 'merah', 'cocok', 'wabah', 'covid', 'number']"
234,0,0.781,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['juang', 'covid', 'repeated']"
235,3,0.9513,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['nyai', 'baik', 'gitu', 'hibur', 'rumah', 'sehat', 'nyai', 'moga', 'alloh', 'lindung', 'jauh', 'wabah', 'covid', 'moga', 'allcaps', 'yra', 'allcaps']"
236,3,0.9619,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'bayang', 'sih', 'susah', 'payah', 'tangkap', 'tikus', 'banget', 'itu', 'eh', 'elongated', 'repeated', 'tau', 'lepas', 'kayak', 'rumah']"
237,5,0.9124,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['allcaps', 'physical', 'distancing', 'putus', 'rantai', 'sebar', 'covid', 'allcaps', 'number']"
238,2,0.9204,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['seram', 'jatuh', 'tempo', 'massal', 'covid', 'number', 'allcaps', 'usa', 'allcaps', 'indonesia']"
239,2,0.9203,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['repot', 'sissy', 'priscillia', 'damping', 'anak', 'sekolah', 'rumah', 'wabah', 'covid', 'number']"
240,7,0.9452,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kenal', 'lelah', 'tim', 'gugus', 'tugas', 'covid', 'number', 'semprot', 'mukim', 'padat', 'duduk', 'belawan', 'gugus_tugas', 'gugus_tugas', 'gugus_tugas']"
241,0,0.9698,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bnyak', 'kena', 'covid', 'sih', 'miskin', 'tuduh', 'bawa', 'virus', 'iya', 'nasib', 'orang', 'miskin', 'ky', 'kuli', 'proyek', 'sopir', 'ambulans', 'kang', 'gali', 'kubur', 'kena', 'getah', 'lindung', 'kaum', 'miskin', 'iya', 'rabb', 'repeated']"
242,0,0.9735,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['bahan', 'kempen', 'mahu', 'padam', 'da', 'repeated', 'release', 'padam', 'repeated', 'release', 'padam', 'repeated', 'dok', 'dendiam', 'wat', 'keje', 'orang', 'tingkat', 'nampak', 'takyah', 'wat', 'kempen', 'langsung', 'save', 'wang', 'raja', 'masuk', 'tabung', 'covid', 'number', 'tolong', 'rakyat']"
243,2,0.9124,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'pandu', 'isolasi', 'mandiri', 'antisipasi', 'sebar', 'covid', 'allcaps', 'number']"
244,3,0.9583,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['betoi', 'zmn', 'allcaps', 'pkp', 'allcaps', 'spatut', 'bantu', 'nambah', 'beban', 'pulak', 'repeated', 'sb', 'spesis', 'la', 'angkuh', 'bodoh', 'tambah', 'kes', 'covid', 'repeated']"
245,3,0.9485,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['kasih', 'tips', 'cegah', 'sebar', 'berita', 'bohong', 'covid', 'number', 'wa', 'teliti', 'berita', 'iya', 'kak', 'repeated', 'terus', 'repeated']"
246,6,0.9619,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['surabaya', 'babinsa', 'koramil', 'tenggilis', 'mejoyo', 'upaya', 'laksana', 'sosialisasi', 'warga', 'masyarakat', 'redam', 'wabah', 'virus', 'corona', 'covid', 'number', 'kali', 'serma', 'siswono', 'sertu', 'supri', 'warsoyo']"
247,2,0.9326,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['virus', 'corona', 'kenal', 'usia', 'pangkat', 'jabat', 'keluarga', 'raja', 'saudi', 'tular', 'covid', 'number']"
248,5,0.9539,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['asalamualaikum', 'selamat', 'pagi', 'semogga', 'hati', 'semogga', 'covid', 'number', 'cepat', 'masuk', 'rohomadhon', 'semgga', 'covid', 'number', 'moga', 'iya', 'robal', 'alamin']"
249,7,0.8541,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['mudah', 'an', 'covid', 'badan', 'mu']"
250,0,0.9649,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['mimpi', 'malam', 'allcaps', 'psbb', 'allcaps', 'tahan', 'batal', 'covid', 'data', 'tambah', 'tekan', 'perintah', 'jalan', 'giat', 'ekonomi', 'sedia', 'ahli', 'sehat', 'tenaga', 'medis', 'pasrah', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
251,6,0.9663,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['number', 'dampak', 'covid', 'number', 'ekonomi', 'indonesia', 'kondisi', 'imbas', 'turun', 'konsumsi', 'rumah', 'tangga', 'investasi', 'merosot', 'tajam', 'allcaps', 'covid', 'allcaps', 'number', 'prediksi', 'investasi', 'merosot', 'level', 'persen', 'buruk']"
252,0,0.8748,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['cegah', 'covid', 'number', 'area', 'physical', 'distancing']"
253,1,0.927,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['usaha', 'efin', 'min', 'wabah', 'covid', 'number', 'kantor', 'pajak', 'online', 'min', 'trmksh']"
254,5,0.8089,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['peta', 'identifikasi', 'sebar', 'covid', 'number', 'kota', 'serang', 'update', 'dasar', 'postingan', 'pasien', 'positif', 'kota', 'serang', 'tambah', 'total', 'number', 'orang', 'kait']"
255,0,0.9326,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['semenjak', 'covid', 'repeated', 'ramai', 'pompuan', 'gigih', 'pakai', 'make', 'up', 'rumah', 'repeated', 'mask']"
256,6,0.9124,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['duka', 'tinggal', 'tugas', 'medis', 'jibaku', 'aman', 'pasien', 'covid', 'number']"
257,0,0.9453,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['selamat', 'pagi', 'informasi', 'informasi', 'lengkap', 'jadwal', 'jalan', 'allcaps', 'krl', 'allcaps', 'date', 'lihat', 'website', 'link', 'tks']"
258,6,0.9026,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['covid', 'number', 'sebar', 'binatang', 'kah', 'moga', 'ahli', 'teliti']"
259,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['moga', 'indonesia', 'tekan', 'lonjak', 'pasien', 'covid', 'number', 'minim', 'allcaps', 'apd', 'allcaps']"
260,7,0.8905,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['kepastin', 'miss', 'covid', 'number', 'pergi', 'muka', 'bumi']"
261,2,0.9124,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'tular', 'covid', 'allcaps', 'number', 'allcaps', 'kampung', 'halaman', 'allcaps']"
262,2,0.9124,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['pandemik', 'allcaps', 'covid', 'allcaps', 'number', 'polri', 'angka', 'jahat', 'turun']"
263,0,0.965,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['kesana', 'ngambil', 'ragu', 'situasi', 'harus', 'stay', 'at', 'home', 'covid', 'number', 'mohon', 'evaluasi', 'iya', 'repeated', 'batas', 'konfirmasi', 'produk', 'shopee', 'nya', 'tanggal', 'date', 'repeated', 'terima', 'kasih']"
264,7,0.9326,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['polres', 'trenggalek', 'patroli', 'menghimbau', 'masyarakat', 'jaga', 'jarak', 'warga', 'suka', 'nongkrong', 'jaga_jarak', 'jaga_jarak']"
265,5,0.927,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['number', 'orang', 'temenya', 'glenn', 'nyusul', 'biar', 'siksa', 'virus', 'corona', 'covid', 'number']"
266,2,0.9583,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['doa', 'moga', 'dunia', 'bebas', 'nama', 'virus', 'corona', 'covid', 'number', 'dunia', 'sehat', 'manusia', 'syukur', 'allah', 'allcaps', 'swt', 'allcaps', 'sehat', 'bahagia', 'moga']"
267,6,0.9124,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['kampung', 'panglime', 'linting', 'cegah', 'covid', 'number', 'virus', 'korona', 'masyarakat']"
268,7,0.708,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['covid', 'sial']"
269,2,0.9635,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['ramu', 'empon', 'empon', 'jaga', 'sehat', 'masa', 'virus', 'covid', 'corona', 'jahe', 'bagus', 'jahe', 'merah', 'temulawak', 'cengkeh', 'kunir', 'kunyit', 'sereh', 'kayu', 'manis', 'gula', 'merah', 'madu']"
270,4,0.9562,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['pakai', 'masker', 'main', 'yoyo', 'mu', 'potret', 'sd', 'vita', 'school', 'pandemi', 'covid', 'number', 'budaya', 'masker', 'contact', 'us', 'cak', 'dolan', 'number']"
271,6,0.9326,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['cuti', 'laahh', 'kejar', 'tinggal', 'kemarin', 'kejar', 'covid', 'number', 'tinggal', 'jadi', 'modus', 'repeated']"
272,2,0.8905,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['amit', 'nolak', 'positif', 'covid', 'ngerawat', 'apaa', 'repeated']"
273,2,0.9539,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['rantau', 'jakarta', 'ingat', 'allcaps', 'odp', 'covid', 'allcaps', 'number', 'pikir', 'allcaps', 'paksa', 'allcaps', 'pulang', 'kampung', 'apa', 'alas', 'gambar', 'laku']"
274,7,0.9124,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['nama', 'virus', 'covid', 'la', 'convic', 'convin', 'adoi', 'elongated', 'bebal']"
275,6,0.927,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['cegah', 'virus', 'corona', 'covid', 'number', 'srikandi', 'polres', 'pasuruan', 'bagi', 'masker', 'masyarakat']"
276,7,0.9124,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['unggal', 'lilir', 'ngaragap', 'tarang', 'syukur', 'heunteu', 'panas', 'efek', 'covid']"
277,0,0.9539,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['aliansi', 'bal', 'lawan', 'covid', 'number', 'sinergi', 'perintah', 'kota', 'denpasar', 'putus', 'sebar', 'covid', 'number', 'via', 'ungkap', 'fakta', 'lurus', 'sejarah']"
278,4,0.9204,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['eh', 'tl', 'kaga', 'sliweran', 'berita', 'covid', 'ud', 'selesai', 'kali', 'iya']"
279,1,0.9204,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['number', 'kerja', 'jatim', 'korban', 'allcaps', 'phk', 'allcaps', 'covid', 'number', 'via']"
280,0,0.8539,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['tumpu', 'kes', 'musim', 'covid', 'number']"
281,3,0.9539,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['kemenkeuri', 'perintah', 'siap', 'bijak', 'extraordinary', 'tangan', 'covid', 'number', 'belanja', 'negara', 'tingkat', 'fasilitas', 'layan', 'sehat', 'bantu', 'sosial', 'beri', 'stimulus']"
282,7,0.7808,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['nunggu', 'covid', 'selesai']"
283,6,0.9452,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['suruh', 'news', 'anchor', 'pakai', 'masker', 'lawan', 'covid', 'number', 'jg', 'meng', 'edukasi', 'msy', 'ngeyel', 'pakai', 'masker']"
284,1,0.9735,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['allcaps', 'allcaps', 'rezim', 'jkw', 'allcaps', 'remeh', 'allcaps', 'allcaps', 'tutup', 'allcaps', 'aman', 'turis', 'proyek', 'investor', 'allcaps', 'tka', 'allcaps', 'negara', 'cina', 'komunis', 'indonesia', 'allcaps', 'serang', 'allcaps', 'kuasa', 'gagap', 'cegah', 'kendali', 'lindung', 'rakyat', 'tular', 'mati']"
285,2,0.671,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['bantu', 'tenaga', 'medis', 'rawat', 'pasien', 'allcaps', 'covid', 'allcaps', 'number', 'mata', 'garuda', 'sulsel', 'produksi', 'allcaps', 'apd', 'allcaps', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
286,2,0.9583,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['new', 'post', 'allcaps', 'covid', 'allcaps', 'number', 'obat', 'hilang', 'gumpal', 'bantu', 'selamat', 'nyawa', 'pasien', 'ventilator', 'has', 'been', 'published', 'on', 'kafe', 'kepo']"
287,2,0.9026,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['belanja', 'sayur', 'online', 'serbu', 'warganet', 'pandemi', 'covid', 'number']"
288,3,0.8247,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['moga', 'covid', 'number', 'moga']"
289,5,0.9374,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['gubernur', 'gorontalo', 'rusli', 'habibie', 'umum', 'positif', 'gorontalo', 'kamis', 'date', 'malam', 'foto', 'adiwinata', 'solihin']"
290,3,0.9513,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['berita', 'artis', 'tinggal', 'sengaja', 'besar', 'kan', 'alih', 'berita', 'lalai', 'perintah', 'atas', 'wabah', 'allcaps', 'covid', 'allcaps', 'number', 'repeated']"
291,3,0.9562,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['dholat', 'jamaah', 'dilarangngopi', 'warung', 'dilarangpesta', 'nikah', 'larang', 'dibubarinada', 'mati', 'yag', 'ngelayat', 'penuh', 'larang', 'dibubarin', 'repeated', 'virus', 'covid', 'number', 'madih']"
292,0,0.9452,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['allcaps', 'kumpul', 'allcaps', 'poster', 'stay', 'at', 'home', 'edukasi', 'covid', 'number', 'bagi', 'facebook', 'whatsapp', 'instagram', 'via']"
293,4,0.9027,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['bayan', 'yadda', 'zaka', 'zaki', 'gujewa', 'coronavirus', 'covid', 'number']"
294,5,0.9717,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['juara', 'allcaps', 'pubg', 'allcaps', 'ned', 'brotherhood', 'selangor', 'cybergames', 'stay', 'home', 'edition', 'tahniah', 'menang', 'nanti', 'selangor', 'cyber', 'games', 'number', 'lepas', 'jaya', 'lawan', 'covid', 'number', 'terima', 'kasih', 'sumbang', 'johan', 'rm', 'jaya', 'kutip']"
295,2,0.9204,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['tim', 'pesisir', 'selatan', 'sisir', 'number', 'warga', 'kontak', 'pasien', 'covid', 'number']"
296,2,0.9026,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['allcaps', 'artikel', 'allcaps', 'covid', 'number', 'hidup', 'sosial', 'masyarakat']"
297,0,0.9204,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['repeated', 'timbus', 'je', 'salji', 'konfem', 'virus', 'covid', 'number', 'serang', 'dorang']"
298,0,0.9124,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['cegah', 'sebar', 'covid', 'number', 'tim', 'satgas', 'periksa', 'kapal', 'masuk']"
299,2,0.9203,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['syukur', 'moga', 'abang', 'sehat', 'moga', 'indonesia', 'cepat', 'bebas', 'covid', 'number']"
300,1,0.9649,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['indonesia', 'tegas', 'allcaps', 'dk', 'pbb', 'allcaps', 'tunjuk', 'satu', 'atas', 'dampak', 'allcaps', 'covid', 'allcaps', 'number', 'thdp', 'damai', 'aman', 'internasional', 'kerja', 'global', 'solidaritas', 'hindar', 'diskriminasi', 'stigmatisasi']"
301,6,0.9124,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['garda', 'depan', 'tangan', 'covid', 'number', 'tunjuk', 'manusia', 'pikir', 'cerdas']"
302,2,0.9513,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['perawat', 'ngerawat', 'pasien', 'covid', 'kena', 'resiko', 'kerja', 'nyawa', 'taruh', 'sembuh', 'dimakamin', 'daerah', 'tolak', 'hati', 'nurani', 'mana', 'sih']"
303,0,0.9326,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['jasa', 'tenaga', 'medis', 'tlah', 'gugur', 'jihad', 'wabah', 'covid', 'number', 'tenaga_medis', 'tenaga_medis', 'tenaga_medis']"
304,1,0.854,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['covid', 'telanjang', 'tonton', 'number', 'urus']"
305,0,0.9708,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['allcaps', 'dprd', 'allcaps', 'kota', 'makassar', 'info', 'dprd', 'kotamakassar', 'perintah', 'makassar', 'realokasi', 'refocusing', 'anggar', 'number', 'milyar', 'tangan', 'dampak', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number', 'kota', 'makassar', 'ketua', 'allcaps', 'dprd', 'allcaps', 'kota']"
306,2,0.9635,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['kesan', 'covid', 'number', 'rentas', 'pelbagai', 'lapis', 'iaitu', 'ubat', 'media', 'ideologi', 'politik', 'dengar', 'analisis', 'geo', 'politik', 'covid', 'number', 'legar', 'media', 'mohd', 'azmi', 'abdul', 'hamid']"
307,6,0.9602,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['ingat', 'milad', 'imam', 'mahdi', 'afs', 'allcaps', 'dpw', 'abi', 'allcaps', 'sumsel', 'allcaps', 'dpd', 'abi', 'allcaps', 'kab', 'probolinggo', 'giat', 'sosial', 'cegah', 'covid', 'number']"
308,0,0.9676,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['yah', 'orang', 'mutasi', 'virus', 'bahaya', 'dar', 'covid', 'number', 'ngomong', 'dikit', 'obat', 'sakit', 'kepala', 'bodrex', 'pokok', 'bodrex', 'repeated', 'ko', 'antokkan', 'kepala', 'kau', 'batu', 'sembuh', 'sampek', 'paham', 'repeated']"
309,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['alas', 'ndak', 'lari', 'sepeda', 'joging', 'bareng', 'pandemik', 'allcaps', 'covid', 'allcaps', 'number']"
310,1,0.9602,"allcaps, number, covid, orang, sih, iya, mandi, virus, repeated, tinggal","['usaha', 'hasut', 'suasana', 'tugas', 'hasut', 'ustad', 'ustad', 'kadal', 'gurun', 'repeated', 'warga', 'dunia', 'warga', 'negara', 'dukung', 'usaha', 'tekan', 'covid', 'number', 'minimal', 'diam']"
311,4,0.965,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['number', 'narapidana', 'bebas', 'wabah', 'covid', 'number', 'koruptor', 'repeated', 'serba', 'serbi', 'allcaps', 'mmc', 'allcaps', 'perintah', 'kemenkumham', 'keluar', 'bebas', 'number', 'narapidana', 'anak', 'program', 'asimilasi', 'integrasi', 'repeated']"
312,0,0.9416,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['orang', 'bagusnye', 'disuru', 'bantu', 'dokter', 'nanganin', 'covid', 'number', 'apd', 'sensasi', 'mele', 'lo', 'nesnes', 'repeated']"
313,5,0.9326,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['daerah', 'papua', 'barat', 'zona', 'hijau', 'allcaps', 'covid', 'allcaps', 'number', 'papua_barat', 'papua_barat', 'papua_barat']"
314,3,0.8247,"number, covid, allcaps, repeated, moga, rumah, iya, bantu, wabah, perintah","['moga', 'covid', 'number', 'cepat']"
315,5,0.9204,"allcaps, number, covid, orang, pandemi, rumah, iya, sebar, putus, virus","['terap', 'biasa', 'jaga', 'jarak', 'cegah', 'rebak', 'covid', 'number', 'jaga_jarak', 'jaga_jarak']"
316,6,0.9204,"number, covid, allcaps, repeated, makam_jenazah, corona, papua_barat, positif, warga, pasien","['salat', 'jumat', 'insha', 'allah', 'kurang', 'rasa', 'keluarga', 'lawan', 'covid', 'number']"
317,4,0.927,"covid, number, allcaps, repeated, orang, iya, tangan, sehat, pandemi, jaga","['ada', 'website', 'portal', 'berita', 'media', 'muat', 'timeline', 'bijak', 'perintah', 'kait', 'covid']"
318,2,0.927,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['cegah', 'pagebluk', 'allcaps', 'covid', 'allcaps', 'number', 'polri', 'janji', 'tindak', 'hukum', 'jalan']"
319,2,0.9513,"allcaps, number, covid, repeated, moga, virus, sebar, orang, cegah, indonesia","['salah', 'sebab', 'angka', 'mati', 'covid', 'number', 'tinggal', 'covid', 'number', 'nyata', 'tinggal', 'covid', 'number', 'sakit', 'covid', 'number', 'rebak']"
320,0,0.9562,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['jogja', 'ngajak', 'jalan', 'biar', 'refreshing', 'ngerencanain', 'lalup', 'boro', 'jalan', 'jogja', 'repeated', 'diskitar', 'diri', 'gabisa', 'mohon', 'covid', 'go', 'away', 'repeated']"
321,7,0.8905,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['semenjak', 'covid', 'jam', 'tidur', 'kayak', 'manusia', 'normal']"
322,0,0.7782,"covid, number, allcaps, repeated, tenaga_medis, orang, virus, kena, moga, iya","['update', 'corona', 'covid', 'number', 'sulsel', 'jumat', 'date', 'kabupaten', 'kota', 'maros', 'sidrap', 'number', 'postif', 'gowa', 'number']"
323,7,0.9125,"covid, number, allcaps, mata_rantai, repeated, virus, putus, mudah, rumah, rantai","['abdul', 'covid', 'vairus', 'cowok', 'siti', 'covida', 'vairus', 'cewek', 'wkwkwkw']"
